attribute,mean,max,min
pubchem_f220,0.02267156862745098,1.0,0.0
pattern_c118,0.0392156862745098,1.0,0.0
maccs_k111,0.34375,1.0,0.0
pattern_c2,0.09681372549019608,1.0,0.0
maccs_322_008,0.9178921568627451,1.0,0.0
peptide,0.03860294117647059,1.0,0.0
trans_double_bond:,0.12806372549019607,1.0,0.0
pubchem_f712,0.2261029411764706,1.0,0.0
ketone,0.16544117647058823,1.0,0.0
pattern_c108,0.0778186274509804,1.0,0.0
pattern_c203,0.0055147058823529415,1.0,0.0
pattern_c103,0.2426470588235294,1.0,0.0
pattern_c98,0.24325980392156862,1.0,0.0
diarylthioether,0.007965686274509803,1.0,0.0
pattern_c47,0.4846813725490196,1.0,0.0
_15-tautomerizable,0.25674019607843135,1.0,0.0
pattern_c31,0.25674019607843135,1.0,0.0
pattern_c110,0.0741421568627451,1.0,0.0
pubchem_f219,0.02022058823529412,1.0,0.0
pattern_c105,0.24448529411764705,1.0,0.0
maccs_k066,0.43504901960784315,1.0,0.0
pubchem_f661,0.7046568627450981,1.0,0.0
pubchem_f679,0.7046568627450981,1.0,0.0
pubchem_f525,0.7132352941176471,1.0,0.0
pattern_c102,0.24571078431372548,1.0,0.0
pubchem_f601,0.20036764705882354,1.0,0.0
pattern_c342,0.014093137254901961,1.0,0.0
pubchem_f699,0.5018382352941176,1.0,0.0
pubchem_f660,0.19669117647058823,1.0,0.0
phenylalkyl_para_subs,0.14583333333333334,1.0,0.0
pubchem_f700,0.34558823529411764,1.0,0.0
maccs_k135,0.14644607843137256,1.0,0.0
pattern_c45,0.49325980392156865,1.0,0.0
pattern_c285,0.09129901960784313,1.0,0.0
pattern_c199,0.032475490196078434,1.0,0.0
pattern_c145,0.017769607843137254,1.0,0.0
pubchem_f435,0.7089460784313726,1.0,0.0
phenothiazine,0.006127450980392157,1.0,0.0
pubchem_f623,0.028799019607843136,1.0,0.0
pubchem_f335,0.2267156862745098,1.0,0.0
pubchem_f799,0.2346813725490196,1.0,0.0
pubchem_f692,0.15808823529411764,1.0,0.0
maccs_k118,0.602328431372549,1.0,0.0
phenylhalide_para_subs,0.058823529411764705,1.0,0.0
phenylhalide_ortho_subs,0.058823529411764705,1.0,0.0
pubchem_f684,0.43014705882352944,1.0,0.0
maccs_322_050,0.20036764705882354,1.0,0.0
halobenzene,0.05943627450980392,1.0,0.0
pubchem_f406,0.4950980392156863,1.0,0.0
pattern_c46,0.4950980392156863,1.0,0.0
pattern_c277,0.051470588235294115,1.0,0.0
maccs_k034,0.06495098039215687,1.0,0.0
pattern_c139,0.03799019607843137,1.0,0.0
terminal_cc_bond,0.06433823529411764,1.0,0.0
pubchem_f593,0.4534313725490196,1.0,0.0
thiophosphoric_acid_ester,0.0024509803921568627,1.0,0.0
pubchem_f214,0.03860294117647059,1.0,0.0
pattern_c109,0.27267156862745096,1.0,0.0
maccs_k147,0.6029411764705882,1.0,0.0
n_mustard,0.0012254901960784314,1.0,0.0
maccs_322_091,0.0012254901960784314,1.0,0.0
maccs_k084,0.11519607843137254,1.0,0.0
filter_fused_rings_55_heterocyclic,0.029411764705882353,1.0,0.0
pubchem_f694,0.19424019607843138,1.0,0.0
pubchem_f735,0.06678921568627451,1.0,0.0
pubchem_f431,0.5943627450980392,1.0,0.0
pattern_c200,0.02389705882352941,1.0,0.0
maccs_k069,0.07230392156862746,1.0,0.0
pubchem_f668,0.20894607843137256,1.0,0.0
pattern_c140,0.02022058823529412,1.0,0.0
aliphatic_chain_4,0.8167892156862745,1.0,0.0
primary_amino_azaheterocycle,0.028186274509803922,1.0,0.0
pubchem_f666,0.21200980392156862,1.0,0.0
piperidine,0.028186274509803922,1.0,0.0
pubchem_f346,0.42830882352941174,1.0,0.0
pubchem_f530,0.010416666666666666,1.0,0.0
pubchem_f825,0.09191176470588236,1.0,0.0
pubchem_f841,0.058823529411764705,1.0,0.0
pubchem_f718,0.01715686274509804,1.0,0.0
pattern_c334,0.01715686274509804,1.0,0.0
pubchem_f781,0.01715686274509804,1.0,0.0
pubchem_f210,0.02696078431372549,1.0,0.0
pubchem_f017,0.12928921568627452,1.0,0.0
maccs_322_258,0.1801470588235294,1.0,0.0
pattern_c65,0.1256127450980392,1.0,0.0
pattern_c247,0.025122549019607844,1.0,0.0
pattern_c43,0.025122549019607844,1.0,0.0
pubchem_f641,0.7254901960784313,1.0,0.0
pubchem_f582,0.16237745098039216,1.0,0.0
pubchem_f643,0.16237745098039216,1.0,0.0
piperidine_monocyclic,0.029411764705882353,1.0,0.0
maccs_k115,0.4944852941176471,1.0,0.0
pattern_c307,0.011029411764705883,1.0,0.0
maccs_k023,0.011029411764705883,1.0,0.0
pattern_c155,0.011029411764705883,1.0,0.0
ester_deriv,0.16176470588235295,1.0,0.0
carboxylic ester,0.10845588235294118,1.0,0.0
pubchem_f862,0.056372549019607844,1.0,0.0
pubchem_f305,0.0030637254901960784,1.0,0.0
maccs_322_074,0.0030637254901960784,1.0,0.0
pubchem_f190,0.024509803921568627,1.0,0.0
2-N-linked ribose deriv.,0.024509803921568627,1.0,0.0
pubchem_f778,0.27144607843137253,1.0,0.0
pubchem_f696,0.08762254901960784,1.0,0.0
maccs_k106,0.17830882352941177,1.0,0.0
pubchem_f632,0.042279411764705885,1.0,0.0
pubchem_f002,0.9234068627450981,1.0,0.0
pattern_c215,0.02389705882352941,1.0,0.0
organophosphate,0.02389705882352941,1.0,0.0
pubchem_f600,0.7144607843137255,1.0,0.0
pubchem_f032,0.023284313725490197,1.0,0.0
pattern_c66,0.12438725490196079,1.0,0.0
maccs_k143,0.5882352941176471,1.0,0.0
maccs_k127,0.5882352941176471,1.0,0.0
conjug_bond,0.05392156862745098,1.0,0.0
pubchem_f379,0.05392156862745098,1.0,0.0
anilide_n_ortho_subs,0.015318627450980392,1.0,0.0
pubchem_f447,0.7395833333333334,1.0,0.0
pubchem_f491,0.7395833333333334,1.0,0.0
pubchem_f557,0.7395833333333334,1.0,0.0
filter_bridged_rings_55_heterocyclic,0.02267156862745098,1.0,0.0
pubchem_f706,0.16544117647058823,1.0,0.0
n_in_aromatic_5_ring,0.08517156862745098,1.0,0.0
maccs_322_059,0.8903186274509803,1.0,0.0
maccs_k121,0.3075980392156863,1.0,0.0
azacycle,0.3075980392156863,1.0,0.0
pattern_c256,0.0196078431372549,1.0,0.0
pubchem_f361,0.006127450980392157,1.0,0.0
pubchem_f154,0.051470588235294115,1.0,0.0
pubchem_f378,0.1948529411764706,1.0,0.0
pubchem_f527,0.009191176470588236,1.0,0.0
pubchem_f768,0.009191176470588236,1.0,0.0
pubchem_f837,0.009191176470588236,1.0,0.0
pubchem_f831,0.009191176470588236,1.0,0.0
alkylarylthioether,0.009191176470588236,1.0,0.0
C ONS bond,0.9632352941176471,1.0,0.0
pattern_c29,0.15379901960784315,1.0,0.0
pubchem_f364,0.028186274509803922,1.0,0.0
pattern_c236,0.15012254901960784,1.0,0.0
maccs_k042,0.0508578431372549,1.0,0.0
pubchem_f288,0.0508578431372549,1.0,0.0
pubchem_f024,0.0508578431372549,1.0,0.0
maccs_k108,0.48284313725490197,1.0,0.0
pubchem_f711,0.65625,1.0,0.0
pattern_c243,0.02022058823529412,1.0,0.0
posionazable,0.16789215686274508,1.0,0.0
anilide_n_para_subs,0.016544117647058824,1.0,0.0
maccs_322_260,0.024509803921568627,1.0,0.0
maccs_k141,0.35661764705882354,1.0,0.0
maccs_k112,0.9387254901960784,1.0,0.0
pattern_c17,0.04963235294117647,1.0,0.0
phosphate monoester,0.0196078431372549,1.0,0.0
pubchem_f158,0.0196078431372549,1.0,0.0
pattern_c8,0.9791666666666666,1.0,0.0
maccs_322_016,0.9791666666666666,1.0,0.0
imidolactam,0.03676470588235294,1.0,0.0
pattern_c161,0.15808823529411764,1.0,0.0
sulfide,0.061887254901960786,1.0,0.0
chiral_center_specified,0.9705882352941176,1.0,0.0
pattern_c15,0.9705882352941176,1.0,0.0
pattern_c33,0.9705882352941176,1.0,0.0
pattern_c32,0.9705882352941176,1.0,0.0
mixed_anhydride,0.018995098039215685,1.0,0.0
n-acyl-aliphatic alpha-amino-acid,0.018995098039215685,1.0,0.0
pubchem_f200,0.15012254901960784,1.0,0.0
pubchem_f704,0.07965686274509803,1.0,0.0
pubchem_f708,0.04840686274509804,1.0,0.0
pubchem_f756,0.08272058823529412,1.0,0.0
pubchem_f146,0.15747549019607843,1.0,0.0
macrocycle_r12_r40,0.01838235294117647,1.0,0.0
dialkylether,0.0784313725490196,1.0,0.0
maccs_k036,0.04840686274509804,1.0,0.0
pattern_c317,0.017769607843137254,1.0,0.0
tertiary alcohol,0.06801470588235294,1.0,0.0
maccs_k155,0.8504901960784313,1.0,0.0
hemiacetal,0.01715686274509804,1.0,0.0
maccs_322_005,0.7064950980392157,1.0,0.0
pubchem_f819,0.2542892156862745,1.0,0.0
maccs_k109,0.3272058823529412,1.0,0.0
pubchem_f183,0.14522058823529413,1.0,0.0
pattern_c252,0.016544117647058824,1.0,0.0
sugar_pattern_2_reducing,0.016544117647058824,1.0,0.0
guanidine,0.016544117647058824,1.0,0.0
pubchem_f460,0.03308823529411765,1.0,0.0
pubchem_f013,0.5649509803921569,1.0,0.0
pubchem_f341,0.40931372549019607,1.0,0.0
pubchem_f449,0.044730392156862746,1.0,0.0
maccs_k051,0.032475490196078434,1.0,0.0
pubchem_f415,0.032475490196078434,1.0,0.0
acetal_like,0.0545343137254902,1.0,0.0
maccs_k165,0.8333333333333334,1.0,0.0
cyclic,0.8333333333333334,1.0,0.0
pubchem_f458,0.031862745098039214,1.0,0.0
pattern_c302,6.127450980392157E-4,1.0,0.0
pattern_c204,6.127450980392157E-4,1.0,0.0
pubchem_f865,6.127450980392157E-4,1.0,0.0
maccs_322_279,6.127450980392157E-4,1.0,0.0
dithiocarbamic acid ester,6.127450980392157E-4,1.0,0.0
pubchem_f858,6.127450980392157E-4,1.0,0.0
pattern_c125,6.127450980392157E-4,1.0,0.0
pattern_c300,6.127450980392157E-4,1.0,0.0
pubchem_f879,6.127450980392157E-4,1.0,0.0
pubchem_f844,6.127450980392157E-4,1.0,0.0
aryl_urea,6.127450980392157E-4,1.0,0.0
pubchem_f545,0.07291666666666667,1.0,0.0
aldehyde,0.03125,1.0,0.0
pubchem_f389,0.03125,1.0,0.0
maccs_k016,0.014705882352941176,1.0,0.0
pubchem_f119,0.014705882352941176,1.0,0.0
pubchem_f437,0.042279411764705885,1.0,0.0
epoxide,0.014093137254901961,1.0,0.0
pubchem_f018,0.013480392156862746,1.0,0.0
pubchem_f152,0.013480392156862746,1.0,0.0
pattern_c174,0.012867647058823529,1.0,0.0
primary carboxamide,0.012254901960784314,1.0,0.0
2B6,0.0,0.0,0.0
